accuracy,brier_score,log_loss,roc_auc,calibration_error,model_name,feature_count,model_kind,avg_predicted_probability,min_predicted_probability,max_predicted_probability,"bucket_(0.2, 0.3]","bucket_(0.3, 0.4]","bucket_(0.4, 0.5]","bucket_(0.5, 0.6]","bucket_(0.6, 0.7]","bucket_(0.7, 0.8]","bucket_(0.8, 0.9]","bucket_(0.1, 0.2]","bucket_(0.9, 1.0]",home_team_baseline_log_loss,elo_baseline_log_loss,team_only_model_log_loss,sportsbook_benchmark_log_loss,beats_home_team_baseline,beats_elo_baseline,beats_team_only_model,beats_sportsbook_benchmark,row_type,probability_bucket,games,realized_home_win_rate
,,,,,team_features_plus_player_features_l2,,,0.3546276421202992,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.3, 0.4]",174.0,0.41379310344827586
,,,,,team_features_plus_player_features_l2,,,0.45224783612064556,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.4, 0.5]",225.0,0.56
,,,,,team_features_plus_player_features_l2,,,0.5503832464274644,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.5, 0.6]",228.0,0.5745614035087719
,,,,,team_features_plus_player_features_l2,,,0.6474513846864678,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.6, 0.7]",237.0,0.6286919831223629
,,,,,team_features_plus_player_features_l2,,,0.7437125849617586,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.7, 0.8]",157.0,0.6624203821656051
,,,,,team_features_plus_player_features_l2,,,0.8386139941597557,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.8, 0.9]",54.0,0.7037037037037037
,,,,,team_features_plus_player_features_l2,,,0.9112323329449629,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.9, 1.0]",5.0,0.8
,,,,,team_features_plus_selected_player_features_l2,,,0.17264975091884222,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.1, 0.2]",23.0,0.21739130434782608
,,,,,team_features_plus_selected_player_features_l2,,,0.25638578614329344,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.2, 0.3]",115.0,0.34782608695652173
,,,,,team_features_plus_selected_player_features_l2,,,0.3542353417459921,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.3, 0.4]",182.0,0.38461538461538464
